graph_type,model,n,test_acc_mean,test_acc_std,best_val_acc_mean,qk_strength_mean,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std_mean,qk_gamma_k_std_mean,qk_gamma_q_abs_dev_max_mean,qk_gamma_k_abs_dev_max_mean,gate_corr_degree_mean,gate_corr_local_similarity_mean,gate_corr_neighbor_variance_mean,gate_corr_rwse_mean,gate_corr_layer1_local_similarity_mean,gate_corr_layer2_local_similarity_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gate_gt,10,0.8519047617912292,0.02700325311611778,0.8744444370269775,nan,nan,nan,nan,nan,nan,nan,-0.10859943833385301,0.08630615225218756,-0.15899923750249348,-0.15533383035663076,0.04612133179829272,0.04591188187430802,11.988574600219726,0.03126985430717466
heterophily,linear_gt,10,0.8206349074840545,0.03249124569026325,0.8388888835906982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.066243624687194,0.0
heterophily,qk_gt,10,0.8182539582252503,0.0322519260278283,0.8377777814865113,0.12383521795272827,0.021918148547410966,0.024694681726396085,0.026135711930692196,0.025480442121624945,0.06160897612571716,0.06160452663898468,nan,nan,nan,nan,nan,nan,15.208383440971375,-0.002380949258804277
heterophily,reliability_gt,10,0.857619047164917,0.021845447478293135,0.8772222340106964,0.12140798643231392,0.016155507136136293,0.018022606428712607,0.019295501708984374,0.021244735922664404,0.059637293219566345,0.059466326236724855,0.0381071577780856,0.0604135173666443,0.08355681257993453,0.07039010047110932,0.09239202698192646,0.005408959103223107,13.266780996322632,0.03698413968086245
homophily,gate_gt,10,0.9657142758369446,0.015277728923080672,0.97833331823349,nan,nan,nan,nan,nan,nan,nan,-0.035694850018572345,-0.047736642476177676,0.018253656848931425,-0.09694889771767615,0.0023426642596571794,-0.03662279293914107,7.644188094139099,0.04746031165122988
homophily,linear_gt,10,0.9182539641857147,0.024325104552557014,0.9377777814865113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.50934476852417,0.0
homophily,qk_gt,10,0.9314285635948181,0.018494615655464623,0.94722221493721,0.12338433787226677,0.020259809121489523,0.02316868370398879,0.023289093747735023,0.022149135917425157,0.06080059111118317,0.0608599454164505,nan,nan,nan,nan,nan,nan,13.243089723587037,0.013174599409103371
homophily,reliability_gt,10,0.9719047546386719,0.008490203946121202,0.9822222173213959,0.12147725820541382,0.011793984659016132,0.013590925373136997,0.01451551616191864,0.016123019531369208,0.0553621768951416,0.057874849438667296,-0.07509456955879504,-0.049115886026266486,-0.025545581869593454,-0.055250439142786274,0.03870863602867285,-0.05322888764611938,10.432878923416137,0.053650790452957176
noisy,gate_gt,10,0.6028571486473083,0.040298705522425884,0.6438888907432556,nan,nan,nan,nan,nan,nan,nan,-0.1275632545909026,-0.049631475159139404,-0.0937048442407148,-0.08628888941699057,-0.04192628757682134,-0.03775688638915261,8.447845411300658,0.0015872985124587569
noisy,linear_gt,10,0.6012698501348496,0.04666127046815236,0.6372222185134888,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.780375576019287,0.0
noisy,qk_gt,10,0.5969841361045838,0.04825214545585063,0.6311110973358154,0.12408716678619384,0.01954265162348747,0.0210938791744411,0.023188318777829408,0.021230849251151086,0.06069724559783936,0.06014897525310516,nan,nan,nan,nan,nan,nan,10.50103964805603,-0.004285714030265786
noisy,reliability_gt,10,0.6142857313156128,0.04499656005235083,0.6449999988079071,0.12271782644093036,0.018149938248097897,0.019004464242607357,0.02171553485095501,0.021967295370996,0.05998120605945587,0.059397917985916135,-0.167876776001461,0.11969293206556011,-0.00761743715418094,-0.13058865404667644,0.09906997341465847,0.09919972478919084,11.283692574501037,0.013015881180763245
