dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Pubmed,qk_gt,0:0,0,0,15,0.7280000448226929,0.7190000414848328,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,17.18974018096924,0.006720089819282293,0.006692800205200911,0.006747379433363676,8.160323341144249e-05,9.852771472651511e-05,0.00014274231216404587,0.0001437950413674116,0.0020877718925476074,0.002357006072998047,nan,nan,nan,nan,nan,nan
Pubmed,qk_gt,0:1,0,1,138,0.7380000352859497,0.7190000414848328,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,36.575803995132446,0.006779687944799662,0.006694109179079533,0.006865266710519791,0.00032368398387916386,0.00028763155569322407,0.0003752324264496565,0.0003759308601729572,0.0023572444915771484,0.0026587247848510742,nan,nan,nan,nan,nan,nan
Pubmed,qk_gt,0:2,0,2,31,0.7380000352859497,0.7310000061988831,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,19.71945309638977,0.006668821210041642,0.006692996248602867,0.006644646171480417,0.00013852531265001744,0.00016315950779244304,0.000231590835028328,0.00024533073883503675,0.002569913864135742,0.0025252103805541992,nan,nan,nan,nan,nan,nan
Pubmed,qk_gt,0:3,0,3,49,0.7220000624656677,0.7420000433921814,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,22.795809268951416,0.006828036159276962,0.0066902488470077515,0.006965823471546173,0.000230264340643771,0.0002508553152438253,0.0003204472886864096,0.00034609984140843153,0.002258121967315674,0.0021840333938598633,nan,nan,nan,nan,nan,nan
Pubmed,qk_gt,0:4,0,4,36,0.7300000190734863,0.7440000176429749,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,19.41141629219055,0.006699271267279983,0.006691341754049063,0.006707200780510902,0.0001389727258356288,0.00015325502317864448,0.00022090000857133418,0.0002143402525689453,0.002350926399230957,0.0024472475051879883,nan,nan,nan,nan,nan,nan
Pubmed,qk_gt,0:5,0,5,48,0.734000027179718,0.7260000109672546,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,22.8556170463562,0.006764487596228719,0.00669114850461483,0.0068378266878426075,0.0002294621372129768,0.0002324258821317926,0.0003323284909129143,0.0003329477331135422,0.0023342370986938477,0.00232696533203125,nan,nan,nan,nan,nan,nan
Pubmed,qk_gt,0:6,0,6,34,0.7300000190734863,0.7280000448226929,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,20.588950872421265,0.00677209859713912,0.006691738031804562,0.006852459162473679,0.00018096406711265445,0.0001890606217784807,0.000245675299083814,0.00026558354147709906,0.00206834077835083,0.0020973682403564453,nan,nan,nan,nan,nan,nan
Pubmed,qk_gt,0:7,0,7,27,0.7200000286102295,0.7280000448226929,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,19.620386123657227,0.006692359456792474,0.006693123374134302,0.0066915955394506454,0.0001663114089751616,0.00017561852291692048,0.0002558305859565735,0.00025622110115364194,0.002577841281890869,0.0024380087852478027,nan,nan,nan,nan,nan,nan
Pubmed,qk_gt,0:8,0,8,45,0.7280000448226929,0.7170000076293945,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,22.28801441192627,0.006724820006638765,0.006691380403935909,0.006758259609341621,0.00017370366549585015,0.00020989362383261323,0.00024321270757354796,0.00029218514100648463,0.0021674931049346924,0.0023531317710876465,nan,nan,nan,nan,nan,nan
Pubmed,qk_gt,0:9,0,9,31,0.7320000529289246,0.7300000190734863,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,20.801892042160034,0.006758806062862277,0.0066952891647815704,0.006822322960942984,0.00018211566202808172,0.0001791483082342893,0.0002791263395920396,0.0002659810124896467,0.002143293619155884,0.002248823642730713,nan,nan,nan,nan,nan,nan
