dataset,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Cora,QK-GT - LinearGT,10,0.008200013637542724,-0.006853867155315906,0.023253894430401354,6,0,4,0.24908651282817834
Cora,Gate-GT - LinearGT,10,0.018500006198883055,0.00012448197678360806,0.0368755304209825,8,0,2,0.04876288084616896
Cora,Reliability-GT - LinearGT,10,0.020500004291534424,0.011691775464165765,0.029308233118903085,10,0,0,0.0005173747162010902
Cora,Reliability-GT - Gate-GT,10,0.0019999980926513673,-0.016470438714702117,0.020470434900004855,5,0,5,0.8119898055850301
Citeseer,QK-GT - LinearGT,10,0.0075999975204467775,-0.00373690615894334,0.018936901199836896,5,1,4,0.16370114435692956
Citeseer,Gate-GT - LinearGT,10,0.012300002574920654,-0.0062351226459507955,0.030835127795792103,6,1,3,0.1675510937914625
Citeseer,Reliability-GT - LinearGT,10,0.0062000036239624025,-0.009175269568518472,0.02157527681644328,6,0,4,0.3854442764348174
Citeseer,Reliability-GT - Gate-GT,10,-0.006099998950958252,-0.025657307206732267,0.013457309304815764,4,0,6,0.4983064593968648
Pubmed,QK-GT - LinearGT,10,0.002999985218048096,-0.007211786516343889,0.01321175695244008,5,0,5,0.522986494966811
Pubmed,Gate-GT - LinearGT,10,0.005499988794326782,-0.003943739222764316,0.01494371681141788,5,1,4,0.22023188802347107
Pubmed,Reliability-GT - LinearGT,10,0.011699986457824708,0.0020725933927334995,0.021327379522915916,8,0,2,0.02250785776354046
Pubmed,Reliability-GT - Gate-GT,10,0.006199997663497925,-0.0028095945422096412,0.015209589869205491,5,1,4,0.1539635168362994
Chameleon,QK-GT - LinearGT,10,0.007675439119338989,-0.0007645325909639757,0.016115410829641956,7,0,3,0.06979123378033025
Chameleon,Gate-GT - LinearGT,10,0.015131574869155884,0.000802178041517082,0.029460971696794687,6,2,2,0.040637542794668816
Chameleon,Reliability-GT - LinearGT,10,0.01337718367576599,0.001814815123858676,0.024939552227673308,8,0,2,0.02793788980209128
Chameleon,Reliability-GT - Gate-GT,10,-0.0017543911933898925,-0.015605411047061663,0.01209662866028188,5,0,5,0.7809601096284966
Squirrel,QK-GT - LinearGT,10,-0.0024975985288619995,-0.017511832054049402,0.012516634996325401,5,0,5,0.7154065165822091
Squirrel,Gate-GT - LinearGT,10,0.010951012372970581,-0.002160397160257531,0.024062421906198693,7,0,3,0.0914214325983456
Squirrel,Reliability-GT - LinearGT,10,0.02228626012802124,0.007720441008209367,0.03685207924783312,9,0,1,0.007147412385663112
Squirrel,Reliability-GT - Gate-GT,10,0.011335247755050659,0.0008293703619563428,0.021841125148144975,8,0,2,0.03731932879316944
Actor,QK-GT - LinearGT,10,0.0034868359565734864,-0.000705322863243638,0.007678994776390611,7,0,3,0.09257648820766053
Actor,Gate-GT - LinearGT,10,0.008157888054847717,0.0035190122824673587,0.012796763827228075,8,0,2,0.0032144812349002663
Actor,Reliability-GT - LinearGT,10,0.0015131592750549316,-0.0024496467434389642,0.005475965293548827,6,0,4,0.4101363082842765
Actor,Reliability-GT - Gate-GT,10,-0.006644728779792786,-0.010503060329838965,-0.0027863972297466066,1,0,9,0.0036424402262042496
