dataset,family,control_mode,runs,suspect_runs,preference_count_mean,local_preference_frac_mean,global_preference_frac_mean,recomputed_test_primary_mean,reported_test_primary_mean,reproduction_delta_mean,reproduction_delta_abs_max,alpha_mean,alpha_std,alpha_auc_for_local_preference_mean,alpha_corr_signed_preference_mean,alpha_corr_local_minus_global_correct_mean,alpha_corr_local_advantage_mean,alpha_gap_local_minus_global_mean,high_alpha_local_preference_rate_mean,low_alpha_global_preference_rate_mean,relation_to_base_norm_mean,relation_update_gate_mean
Amazon-ratings,iterative_relation_finetune,combined,3,3,2013.6666666666667,0.4800074104669201,0.5199925895330798,0.4698132673899333,0.48402199149131775,-0.014208724101384481,0.02711087465286255,0.8498014609018961,0.001480450543264548,0.5085795076663469,0.055222198916659436,0.030446141771970775,-0.03725173153793541,0.0001605351765950521,0.4747711420059204,0.5381166140238444,0.18225101629892984,0.47886242469151813
Amazon-ratings,iterative_relation_finetune,feature_only,3,3,2013.6666666666667,0.4800074104669201,0.5199925895330798,0.4771081705888112,0.4803200960159302,-0.003211925427118937,0.01714843511581421,0.8679422736167908,0.0026872274465858936,0.49567695646909044,0.014392383992611849,0.0027520585102890557,-0.015412229910836319,8.622805277506511e-05,0.4735495944817861,0.512453536192576,0.4050769607226054,0.5170804460843405
Amazon-ratings,iterative_relation_finetune,reliability_only,3,2,2013.6666666666667,0.4800074104669201,0.5199925895330798,0.47111982107162476,0.47433175643285114,-0.0032119353612264,0.008002609014511108,0.8502598404884338,0.0016540111973881721,0.5018250079193146,0.021906117911630097,0.012298259565836614,-0.051577045936674476,7.112820943196614e-05,0.4769534766674042,0.51864293217659,0.18522000312805176,0.5005794763565063
Amazon-ratings,iterative_relation_frozen,combined,3,2,2013.6666666666667,0.4800074104669201,0.5199925895330798,0.4670368532339732,0.4706843098004659,-0.0036474565664927163,0.006859391927719116,0.8333333333333334,0.0,0.5,nan,nan,nan,0.0,0.4800074100494385,0.5199925899505615,0.0,0.4977226157983144
Amazon-ratings,iterative_relation_frozen,feature_only,3,2,2013.6666666666667,0.4800074104669201,0.5199925895330798,0.4670368532339732,0.46992214520772296,-0.0028852919737497964,0.005389511585235596,0.8333333333333334,0.0,0.5,nan,nan,nan,0.0,0.4800074100494385,0.5199925899505615,0.0,0.49665764967600506
Amazon-ratings,iterative_relation_frozen,reliability_only,3,3,2013.6666666666667,0.4800074104669201,0.5199925895330798,0.46611138184865314,0.46828895807266235,-0.002177576224009196,0.005552828311920166,0.834586501121521,0.0004802252321193616,0.49463250627164673,-0.0431516624115524,-0.023666251708717854,-0.006248744512830101,-4.082918167114258e-05,0.47862215836842853,0.5071654717127482,0.15241679549217224,0.4696534474690755
Roman-empire,iterative_relation_finetune,combined,3,3,2352.6666666666665,0.17096013484639547,0.8290398651536046,0.8461583455403646,0.8454523881276449,0.0007059574127197266,0.005118250846862793,0.7002945939699808,0.004825841790686051,0.5070459556631456,0.02236323190515214,0.0336511858923691,0.035259895209534736,0.00030867258707682293,0.18018350998560587,0.831851601600647,0.5376842419306437,0.5299995044867197
Roman-empire,iterative_relation_finetune,feature_only,3,3,2352.6666666666665,0.17096013484639547,0.8290398651536046,0.817213773727417,0.8253912130991617,-0.008177439371744791,0.01553124189376831,0.6810699701309204,0.0002080546886039277,0.4446394000807026,-0.08544649335223944,-0.0011126366855842254,0.02476225639797539,-5.755821863810221e-05,0.13060881569981575,0.8051041762034098,0.18462487061818442,0.46244004368782043
Roman-empire,iterative_relation_finetune,reliability_only,3,2,2352.6666666666665,0.17096013484639547,0.8290398651536046,0.8436286449432373,0.8459818561871847,-0.002353211243947347,0.004941761493682861,0.6971642971038818,0.004483610003565748,0.4735326931322652,-0.03278127233280872,-0.0062783356621030385,-0.02877031224631135,-0.0004843870798746745,0.16913781563440958,0.8041237990061442,0.5490741729736328,0.5129606227080027
Roman-empire,iterative_relation_frozen,combined,3,3,2352.6666666666665,0.17096013484639547,0.8290398651536046,0.8302152951558431,0.8333332935969034,-0.0031179984410603843,0.004235804080963135,0.6835644642512003,0.0068033890177806216,0.5787200475875505,0.10753930560048125,0.05939386142093731,0.11908876206458324,0.0020108819007873535,0.22712440292040506,0.8810178836186727,0.6740203499794006,0.4829975465933482
Roman-empire,iterative_relation_frozen,feature_only,3,3,2352.6666666666665,0.17096013484639547,0.8290398651536046,0.8205082615216573,0.8188021977742513,0.0017060637474060059,0.005647718906402588,0.6942926049232483,0.0012021482301255066,0.3806576301918456,-0.17469314915199882,-0.09464022681326147,-0.05204454178568826,-0.0004920562108357748,0.07081194967031479,0.7528972228368124,0.45196759700775146,0.43136076132456463
Roman-empire,iterative_relation_frozen,reliability_only,3,1,2352.6666666666665,0.17096013484639547,0.8290398651536046,0.8353923757870992,0.8363336722056071,-0.0009412964185078939,0.00264739990234375,0.6853492061297098,0.006035329929242532,0.5013565349026983,-0.004878134422567057,-0.004433794104651771,0.03616118663144354,6.298224131266276e-05,0.17419678221146265,0.8198492924372355,0.6822554469108582,0.48039350907007855
