model,graph_type,seed,reliability_components,reliability_encoder,best_val_acc,test_acc_at_best_val,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,variant
gate_gt,heterophily,0,"degree,local_similarity,neighbor_variance,rwse",separate,0.4166666567325592,0.2222222238779068,-5.0,nan,0.0251309871673584,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.28828724851675513,-0.17649814674487518,-0.1543527688414577,-0.16680728840752118,-0.6147370093920503,0.14621162151174813,full
gate_gt,heterophily,0,local_similarity,separate,0.4166666567325592,0.2222222238779068,-5.0,nan,0.025003671646118164,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.13870544952394592,-0.2092001499707503,-0.03992615732654153,-0.061914695087732306,-0.7341180405519626,0.2219108521454269,candidate
reliability_gt,heterophily,0,"degree,local_similarity,neighbor_variance,rwse",separate,0.4166666567325592,0.3888888955116272,-5.0,nan,0.02999401092529297,0.006692860275506973,0.006692860275506973,0.006692860275506973,5.7695357099873945e-05,6.409782508853823e-05,6.702446262352169e-05,7.037719478830695e-05,0.00012865662574768066,0.00013136863708496094,-0.07448548149526263,-0.17775508682603156,-0.1503195863075218,-0.02685128823912187,0.13504292340518206,-0.24550638104500166,full
reliability_gt,heterophily,0,"degree,local_similarity,rwse",separate,0.4166666567325592,0.3888888955116272,-5.0,nan,0.0283811092376709,0.006692860275506973,0.006692860275506973,0.006692860275506973,5.770895222667605e-05,6.406054308172315e-05,6.703323015244678e-05,7.036305032670498e-05,0.00012865662574768066,0.00013136863708496094,0.03375005587485846,-0.16598969578216957,-0.0572500842049542,0.03686533152577246,0.11133536670685548,-0.2062319426251741,candidate
gate_gt,homophily,0,"degree,local_similarity,neighbor_variance,rwse",separate,0.4166666567325592,0.25,-5.0,nan,0.02559685707092285,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.183593776119177,-0.4213531329423835,0.06137860317228653,-0.24597171902169346,-0.6049945195391461,-0.13179134759610148,full
gate_gt,homophily,0,rwse,separate,0.4166666567325592,0.2222222238779068,-5.0,nan,0.020931243896484375,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1168384848821043,-0.1483844496072464,-0.017608892048732363,-0.14536376193999573,0.02123429544154918,-0.1718318342694062,candidate
reliability_gt,homophily,0,"degree,local_similarity,neighbor_variance,rwse",separate,0.3333333432674408,0.4166666567325592,-5.0,nan,0.0190427303314209,0.006692860275506973,0.006692860275506973,0.006692860275506973,5.746496026404202e-05,6.298227526713163e-05,6.499596929643303e-05,6.808122270740569e-05,0.0001207888126373291,0.00012546777725219727,-0.3184026059604674,0.13181060619385115,-0.31526077089233284,-0.2021928729861118,0.12511125552038008,0.08381811646407303,full
reliability_gt,homophily,0,local_similarity,separate,0.3333333432674408,0.4166666567325592,-5.0,nan,0.019999265670776367,0.006692860275506973,0.006692860275506973,0.006692860275506973,4.143174737691879e-05,4.532467573881149e-05,4.261182766640559e-05,4.4705066102324054e-05,5.2809715270996094e-05,5.3822994232177734e-05,-0.17202942631856877,0.10926897260668911,-0.21108568796301036,-0.07945363800679486,0.2707122519371268,0.01200786564577273,candidate
gate_gt,noisy,0,"degree,local_similarity,neighbor_variance,rwse",separate,0.25,0.1944444477558136,-5.0,nan,0.02326059341430664,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0030260052478215645,-0.19394518297282015,-0.0419511288907061,-0.02144546307710889,-0.4770162085437423,-0.024108701470553346,full
gate_gt,noisy,0,degree,separate,0.25,0.2222222238779068,-5.0,nan,0.01403355598449707,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08968976826690363,0.0473351639229699,-0.016591944456616728,0.10913202840095525,-0.025312178984002755,0.05951677342351258,candidate
reliability_gt,noisy,0,"degree,local_similarity,neighbor_variance,rwse",separate,0.5,0.25,-5.0,nan,0.020000696182250977,0.006692860275506973,0.006692860275506973,0.006692860275506973,4.97402943437919e-05,5.68400755582843e-05,6.004342867527157e-05,6.568524986505508e-05,0.00013059377670288086,0.00014156103134155273,-0.4862894997842342,-0.24957647829096524,-0.42863215844464353,-0.49821413495883077,0.03297428269406843,-0.339438978876863,full
reliability_gt,noisy,0,rwse,separate,0.5,0.2222222238779068,-5.0,nan,0.02303934097290039,0.006692860275506973,0.006692860275506973,0.006692860275506973,4.469567647902295e-05,4.898259794572368e-05,4.9017293349606916e-05,5.398853318183683e-05,0.00011488795280456543,0.00013679265975952148,-0.32683231779606164,-0.12721663170406408,-0.2574487705295357,-0.5180354032640149,0.002655030134715864,-0.16327210066309444,candidate
